group: Diseases and Symptoms

Diseases = {
disease_code,disease_name,occurrences
"UMLS:C0002395","Alzheimer's disease",101
"UMLS:C0032305","Pneumocystis carinii pneumonia",113
"UMLS:C0038454","accident cerebrovascular",885
"UMLS:C0001418","adenocarcinoma",166
"UMLS:C0001511","adhesion",57
"UMLS:C0233472","affect labile",45
"UMLS:C0002871","anemia",544
"UMLS:C0700613","anxiety state",390
"UMLS:C0003537","aphasia",76
"UMLS:C0003864","arthritis",179
"UMLS:C0004096","asthma",835
"UMLS:C0004610","bacteremia",142
"UMLS:C0005001","benign prostatic hypertrophy",192
"UMLS:C0242216","biliary calculus",61
"UMLS:C0005586","bipolar disorder",241
"UMLS:C0006277","bronchitis",172
"UMLS:C0007097","carcinoma",269
"UMLS:C0678222","carcinoma breast",152
"UMLS:C0699790","carcinoma colon",94
"UMLS:C0684249","carcinoma of lung",86
"UMLS:C0600139","carcinoma prostate",163
"UMLS:C0878544","cardiomyopathy",283
"UMLS:C0007642","cellulitis",341
"UMLS:C0008325","cholecystitis",66
"UMLS:C0001973","chronic alcoholic intoxication",70
"UMLS:C0022661","chronic kidney failure",280
"UMLS:C0024117","chronic obstructive airway disease",524
"UMLS:C1623038","cirrhosis",218
"UMLS:C0009319","colitis",114
"UMLS:C0009676","confusion",408
"UMLS:C0010068","coronary heart disease",1284
"UMLS:C0011127","decubitus ulcer",42
"UMLS:C0149871","deep vein thrombosis",310
"UMLS:C0029408","degenerative polyarthritis",405
"UMLS:C0011168","deglutition disorder",126
"UMLS:C0011175","dehydration",297
"UMLS:C0011206","delirium",68
"UMLS:C0011253","delusion",56
"UMLS:C0497327","dementia",504
"UMLS:C0439857","dependence",67
"UMLS:C0011581","depressive disorder",1337
"UMLS:C0011847","diabetes",1421
"UMLS:C0012813","diverticulitis",145
"UMLS:C1510475","diverticulosis",114
"UMLS:C0034063","edema pulmonary",161
"UMLS:C0034065","embolism pulmonary",294
"UMLS:C0034067","emphysema pulmonary",80
"UMLS:C0085584","encephalopathy",103
"UMLS:C0014118","endocarditis",71
"UMLS:C0014544","epilepsy",290
"UMLS:C0015230","exanthema",208
"UMLS:C0018801","failure heart",138
"UMLS:C0018802","failure heart congestive",963
"UMLS:C0035078","failure kidney",140
"UMLS:C0023267","fibroid tumor",96
"UMLS:C0017152","gastritis",140
"UMLS:C0017160","gastroenteritis",87
"UMLS:C0017168","gastroesophageal reflux disease",325
"UMLS:C0017601","glaucoma",95
"UMLS:C0018099","gout",124
"UMLS:C0018989","hemiparesis",171
"UMLS:C0019112","hemorrhoids",80
"UMLS:C0019158","hepatitis",133
"UMLS:C0019163","hepatitis B",111
"UMLS:C0019196","hepatitis C",269
"UMLS:C0019270","hernia",164
"UMLS:C0019291","hernia hiatal",61
"UMLS:C0019693","hiv infections",350
"UMLS:C0020433","hyperbilirubinemia",68
"UMLS:C0020443","hypercholesterolemia",685
"UMLS:C0020456","hyperglycemia",104
"UMLS:C0020473","hyperlipidemia",247
"UMLS:C0020542","hypertension pulmonary",128
"UMLS:C0020538","hypertensive disease",3363
"UMLS:C0020615","hypoglycemia",122
"UMLS:C0020676","hypothyroidism",398
"UMLS:C1258215","ileus",56
"UMLS:C0021167","incontinence",165
"UMLS:C0021311","infection",630
"UMLS:C0042029","infection urinary tract",597
"UMLS:C0021400","influenza",68
"UMLS:C1565489","insufficiency renal",445
"UMLS:C0022116","ischemia",226
"UMLS:C0011880","ketoacidosis diabetic",93
"UMLS:C0022658","kidney disease",96
"UMLS:C0022660","kidney failure acute",186
"UMLS:C0024228","lymphatic diseases",160
"UMLS:C0024299","lymphoma",105
"UMLS:C0006826","malignant neoplasms",90
"UMLS:C0024713","manic disorder",85
"UMLS:C0025202","melanoma",87
"UMLS:C0149931","migraine disorders",61
"UMLS:C0026266","mitral valve insufficiency",186
"UMLS:C0027051","myocardial infarction",759
"UMLS:C0027651","neoplasm",297
"UMLS:C0027627","neoplasm metastasis",94
"UMLS:C0442874","neuropathy",99
"UMLS:C0027947","neutropenia",68
"UMLS:C0028754","obesity",228
"UMLS:C0028756","obesity morbid",76
"UMLS:C0006849","oral candidiasis",99
"UMLS:C0029443","osteomyelitis",142
"UMLS:C0029456","osteoporosis",169
"UMLS:C0546817","overload fluid",144
"UMLS:C0030305","pancreatitis",165
"UMLS:C0030312","pancytopenia",61
"UMLS:C1456784","paranoia",165
"UMLS:C0030567","parkinson disease",108
"UMLS:C0013405","paroxysmal dyspnea",165
"UMLS:C1253937","pericardial effusion body substance",71
"UMLS:C0085096","peripheral vascular disease",268
"UMLS:C0031212","personality disorder",84
"UMLS:C0032285","pneumonia",1029
"UMLS:C0032290","pneumonia aspiration",119
"UMLS:C0032326","pneumothorax",68
"UMLS:C0019204","primary carcinoma of the liver cells",82
"UMLS:C1306459","primary malignant neoplasm",354
"UMLS:C0033975","psychotic disorder",267
"UMLS:C0034186","pyelonephritis",74
"UMLS:C1145670","respiratory failure",90
"UMLS:C0036341","schizophrenia",147
"UMLS:C1090821","sepsis (invertebrate)",311
"UMLS:C0002895","sickle cell anemia",140
"UMLS:C0006266","spasm bronchial",76
"UMLS:C0003507","stenosis aortic valve",158
"UMLS:C0038663","suicide attempt",114
"UMLS:C0039239","tachycardia sinus",56
"UMLS:C0040034","thrombocytopaenia",123
"UMLS:C0087086","thrombus",67
"UMLS:C0494475","tonic-clonic seizures",92
"UMLS:C0007787","transient ischemic attack",168
"UMLS:C0040961","tricuspid valve insufficiency",101
